source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Aaron Withe ,Right,agree,38,23,15,0.6052631578947368
AARP ,Center,disagree,5371,1798,3573,0.33476075218767454
ABC News (Online) ,Lean Left,agree,47264,31077,16187,0.6575194651320244
Above The Law ,Lean Left,strongly agree,290,207,83,0.7137931034482758
Abridge News ,Mixed,agree,549,345,204,0.6284153005464481
Accuracy in Media  ,Right,agree,1537,939,598,0.6109303838646715
ACLU ,Lean Left,somewhat disagree,4714,1897,2817,0.4024183283835384
AJ+ ,Left,strongly agree,622,466,156,0.7491961414790996
Al Cardenas ,Right,somewhat agree,785,448,337,0.5707006369426751
Al Jazeera ,Lean Left,disagree,11758,4621,7137,0.393009015138629
Alan Dershowitz ,Lean Right,absolutely disagree,474,115,359,0.24261603375527427
AllSides ,Mixed,strongly agree,5627,4035,1592,0.7170783721343522
AllSides Community ,Mixed,agree,4004,2550,1454,0.6368631368631369
AllSides Staff ,Mixed,strongly agree,50,35,15,0.7
Allysia Finley (Wall Street Journal) ,Right,somewhat disagree,1300,617,683,0.4746153846153846
AlterNet ,Left,absolutely agree,13826,11449,2377,0.828077535078837
American Conservative Union ,Right,strongly agree,1406,944,462,0.6714082503556188
American Enterprise Institute ,Lean Right,agree,2687,1734,953,0.6453293636025307
American Greatness ,Right,strongly agree,551,406,145,0.7368421052631579
American Psychological Association ,Center,somewhat disagree,305,127,178,0.4163934426229508
American Thinker ,Right,agree,2824,1840,984,0.6515580736543909
Americans for Democratic Action ,Left,strongly agree,1085,770,315,0.7096774193548387
Americans for Tax Reform ,Right,somewhat agree,1233,731,502,0.5928629359286294
Ammo.com ,Right,somewhat agree,138,77,61,0.5579710144927537
Amnesty International ,Lean Left,disagree,1317,459,858,0.34851936218678814
Andrew Napolitano ,Right,somewhat disagree,1818,821,997,0.4515951595159516
Andrew Sullivan ,Lean Right,somewhat agree,375,199,176,0.5306666666666666
Andrew Yang ,Lean Left,agree,348,219,129,0.6293103448275862
Andy Meek ,Lean Left,somewhat agree,20,11,9,0.55
Andy Ngo ,Lean Right,somewhat disagree,719,324,395,0.4506258692628651
Ann Coulter ,Right,absolutely agree,2281,1871,410,0.8202542744410346
Annafi Wahed ,Lean Left,somewhat agree,614,314,300,0.511400651465798
AP Politics & Fact Check ,Lean Left,somewhat disagree,6342,2857,3485,0.45048880479344056
Aquinas College Saint ,Left,agree,1586,966,620,0.6090794451450189
Arkadi Gerney ,Lean Left,somewhat agree,506,275,231,0.5434782608695652
Arkansas Democrat-Gazette ,Left,somewhat agree,1805,1029,776,0.5700831024930748
Associated Press ,Center,somewhat agree,40252,23135,17117,0.5747540494882242
Association for Psychological Science ,Center,somewhat agree,1479,792,687,0.5354969574036511
Atlanta Black Star ,Lean Left,disagree,139,48,91,0.34532374100719426
Atlanta Journal-Constitution ,Lean Left,somewhat agree,1969,1035,934,0.5256475368207212
Atlas Network ,Right,agree,662,399,263,0.6027190332326284
AtlasOne ,Lean Right,somewhat disagree,598,282,316,0.47157190635451507
Austin American-Statesman ,Lean Left,somewhat agree,1558,865,693,0.555198973042362
Avanti Giridharan ,Center,somewhat agree,28,16,12,0.5714285714285714
Axios ,Center,somewhat disagree,8964,4384,4580,0.4890673806336457
AZ Central ,Center,disagree,494,192,302,0.38866396761133604
Babylon Bee (Humor) ,Lean Right,absolutely agree,544,413,131,0.7591911764705882
Ballotpedia ,Center,somewhat agree,1054,626,428,0.5939278937381404
Bari Weiss ,Center,somewhat agree,138,77,61,0.5579710144927537
Barnstable Patriot ,Center,somewhat disagree,1218,563,655,0.46223316912972084
BBC News ,Center,somewhat agree,48097,25917,22180,0.538848576834314
Bearing Drift ,Right,somewhat agree,1271,685,586,0.5389457120377655
Bella Jasper ,Lean Left,somewhat agree,27,14,13,0.5185185185185185
Ben Sargent (cartoonist) ,Left,somewhat agree,549,293,256,0.5336976320582878
Ben Shapiro ,Right,strongly agree,3710,2566,1144,0.691644204851752
Ben Stein ,Lean Right,somewhat agree,1273,756,517,0.593872741555381
Bernie Goldberg ,Lean Right,agree,69,45,24,0.6521739130434783
BET ,Lean Left,somewhat disagree,560,232,328,0.4142857142857143
Beth Ballentine ,Center,somewhat disagree,804,374,430,0.4651741293532338
Beth Hicks ,Right,agree,22,14,8,0.6363636363636364
Better Government Association ,Center,somewhat disagree,103,45,58,0.4368932038834951
Biblical Gender Roles ,Right,absolutely agree,129,104,25,0.8062015503875969
Biblical Sexology ,Right,strongly agree,99,69,30,0.696969696969697
Billy Binion ,Center,somewhat agree,502,284,218,0.5657370517928287
Bizpac Review ,Right,strongly agree,95,64,31,0.6736842105263158
Black Enterprise ,Lean Left,disagree,135,52,83,0.3851851851851852
Block Club Chicago ,Left,strongly agree,75,51,24,0.68
Bloomberg ,Lean Left,somewhat disagree,33484,13972,19512,0.41727392187313345
Blue Virginia ,Left,somewhat agree,1376,805,571,0.5850290697674418
Bob Barr ,Right,somewhat agree,52,28,24,0.5384615384615384
Bob Gorrell (cartoonist) ,Right,somewhat agree,555,327,228,0.5891891891891892
Boing Boing ,Left,agree,1538,936,602,0.6085825747724317
Bonnie Kristian ,Center,somewhat agree,20,11,9,0.55
Boston Herald ,Lean Right,somewhat agree,970,529,441,0.545360824742268
Boston Herald Editorial ,Lean Right,somewhat agree,564,285,279,0.5053191489361702
Boston Review ,Lean Left,somewhat agree,92,49,43,0.532608695652174
Bowling Green Daily News ,Lean Left,somewhat disagree,1295,630,665,0.4864864864864865
Brad Parscale ,Right,absolutely agree,103,83,20,0.8058252427184466
Brandon Rennels ,Lean Left,disagree,16,6,10,0.375
Braver Angels ,Mixed,somewhat agree,218,125,93,0.573394495412844
Breitbart News ,Right,absolutely agree,45854,35315,10539,0.7701618179439089
Brent Bozell ,Right,somewhat agree,640,339,301,0.5296875
Bret Stephens ,Lean Right,somewhat disagree,725,341,384,0.4703448275862069
Bridge Alliance ,Mixed,somewhat agree,41,23,18,0.5609756097560976
Bridgemi.com ,Center,somewhat agree,243,137,106,0.5637860082304527
Brookings Institution ,Center,somewhat agree,4348,2566,1782,0.5901563937442502
Brown Girl Magazine ,Left,absolutely agree,124,97,27,0.782258064516129
Business Insider ,Center,somewhat disagree,7583,3082,4501,0.40643544771198736
Bustle ,Lean Left,somewhat agree,1688,856,832,0.5071090047393365
BuzzFeed News ,Left,strongly agree,29738,21016,8722,0.7067052256372318
C-SPAN ,Center,absolutely agree,5100,3871,1229,0.7590196078431373
Cal Thomas ,Right,agree,18,12,6,0.6666666666666666
CalMatters ,Center,somewhat agree,1395,758,637,0.5433691756272402
CalWatchdog ,Center,somewhat disagree,1188,570,618,0.4797979797979798
Capital Research Center ,Lean Right,agree,79,50,29,0.6329113924050633
Care2 ,Left,somewhat disagree,1292,630,662,0.48761609907120745
Carnegie Endowment for International Peace ,Center,somewhat agree,865,466,399,0.5387283236994219
Carrie Lukas ,Right,somewhat agree,461,260,201,0.5639913232104121
Cathy Young ,Lean Right,somewhat disagree,171,78,93,0.45614035087719296
Cato Institute ,Lean Right,somewhat disagree,2755,1131,1624,0.4105263157894737
CBN ,Right,agree,10397,6889,3508,0.662594979320958
CBS News ,Lean Left,agree,27673,16791,10882,0.6067647165106783
Center - Major Media Sources ,Center,somewhat agree,1282,687,595,0.5358814352574103
Center For American Progress ,Lean Left,somewhat disagree,2664,1078,1586,0.40465465465465467
Center for Media & Democracy PR Watch ,Lean Left,somewhat disagree,628,279,349,0.4442675159235669
Center for Public Integrity ,Lean Left,somewhat disagree,1566,719,847,0.4591315453384419
Center for Strategic and Budgetary Assessments ,Lean Right,somewhat disagree,870,395,475,0.4540229885057471
Center on Budget and Policy Priorities ,Left,somewhat agree,1470,787,683,0.535374149659864
Centre View ,Lean Left,somewhat disagree,1293,615,678,0.4756380510440835
Chan Lowe (cartoonist) ,Left,somewhat disagree,479,236,243,0.49269311064718163
Charles Blow ,Lean Left,somewhat disagree,695,330,365,0.4748201438848921
Charles Krauthammer ,Lean Right,somewhat agree,1444,784,660,0.5429362880886427
Charles Lane ,Center,somewhat disagree,124,52,72,0.41935483870967744
Charlie Kirk ,Right,strongly agree,456,335,121,0.7346491228070176
Check Your Fact ,Lean Right,somewhat disagree,279,118,161,0.4229390681003584
Chicago Booth Initiative on Global Markets ,Mixed,somewhat agree,476,240,236,0.5042016806722689
Chicago Crusader ,Left,absolutely agree,66,52,14,0.7878787878787878
Chicago Defender ,Left,strongly agree,109,80,29,0.7339449541284404
