source,source_type,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Aaron Withe,author,right,somewhat agree,39,23,16,0.5897435897435898
Al Cardenas,author,right,somewhat agree,786,449,337,0.5712468193384224
Alan Dershowitz,author,lean right,absolutely disagree,475,116,359,0.24421052631578946
AllSides Staff,author,mixed,strongly agree,51,36,15,0.7058823529411765
Allysia Finley (Wall Street Journal),author,right,somewhat disagree,1300,617,683,0.4746153846153846
Andrew Napolitano,author,right,somewhat disagree,1819,822,997,0.4518966465090709
Andrew Sullivan,author,lean right,somewhat agree,376,199,177,0.5292553191489362
Andrew Yang,author,lean left,agree,349,220,129,0.6303724928366762
Andy Meek,author,lean left,somewhat agree,21,12,9,0.5714285714285714
Andy Ngo,author,lean right,somewhat disagree,723,327,396,0.45228215767634855
Ann Coulter,author,right,absolutely agree,2283,1873,410,0.8204117389399912
Annafi Wahed,author,lean left,somewhat agree,616,315,301,0.5113636363636364
Arkadi Gerney,author,lean left,somewhat agree,507,276,231,0.5443786982248521
Avanti Giridharan,author,center,somewhat agree,28,16,12,0.5714285714285714
Bari Weiss,author,center,somewhat agree,142,80,62,0.5633802816901409
Bella Jasper,author,lean left,somewhat agree,27,14,13,0.5185185185185185
Ben Sargent (cartoonist),author,left,somewhat agree,549,293,256,0.5336976320582878
Ben Shapiro,author,right,strongly agree,3712,2568,1144,0.6918103448275862
Ben Stein,author,lean right,somewhat agree,1273,756,517,0.593872741555381
Bernie Goldberg,author,lean right,agree,70,46,24,0.6571428571428571
Beth Ballentine,author,center,somewhat disagree,804,374,430,0.4651741293532338
Beth Hicks,author,right,agree,23,15,8,0.6521739130434783
Billy Binion,author,center,somewhat agree,503,285,218,0.5666003976143141
Bob Barr,author,right,somewhat agree,53,29,24,0.5471698113207547
Bob Gorrell (cartoonist),author,right,somewhat agree,556,328,228,0.5899280575539568
Bonnie Kristian,author,center,somewhat agree,21,12,9,0.5714285714285714
Brad Parscale,author,right,absolutely agree,103,83,20,0.8058252427184466
Brandon Rennels,author,lean left,disagree,16,6,10,0.375
Brent Bozell,author,right,somewhat agree,640,339,301,0.5296875
Bret Stephens,author,lean right,somewhat disagree,725,341,384,0.4703448275862069
Cal Thomas,author,right,agree,18,12,6,0.6666666666666666
Carrie Lukas,author,right,somewhat agree,461,260,201,0.5639913232104121
Cathy Young,author,lean right,somewhat disagree,173,78,95,0.4508670520231214
Chan Lowe (cartoonist),author,left,somewhat disagree,479,236,243,0.49269311064718163
Charles Blow,author,lean left,somewhat disagree,697,330,367,0.4734576757532281
Charles Krauthammer,author,lean right,somewhat agree,1444,784,660,0.5429362880886427
Charles Lane,author,center,somewhat disagree,124,52,72,0.41935483870967744
Charlie Kirk,author,right,strongly agree,458,337,121,0.7358078602620087
Chip Bok (cartoonist),author,right,somewhat agree,405,216,189,0.5333333333333333
Chris Britt (cartoonist),author,center,agree,334,207,127,0.6197604790419161
Chris Ruddy,author,right,somewhat disagree,468,199,269,0.4252136752136752
Chris Wallace,author,center,disagree,396,151,245,0.3813131313131313
Christiane Amanpour,author,lean left,somewhat disagree,1221,536,685,0.438984438984439
Christopher Buskirk,author,lean right,somewhat agree,316,182,134,0.5759493670886076
Chuck Asay (cartoonist),author,right,somewhat agree,418,231,187,0.5526315789473685
Clara Nevins,author,lean left,somewhat disagree,14,6,8,0.42857142857142855
Clay Bennett (cartoonist),author,left,somewhat agree,342,196,146,0.5730994152046783
Conor Friedersdorf,author,center,somewhat disagree,152,67,85,0.4407894736842105
Damon Linker,author,lean left,somewhat agree,673,337,336,0.5007429420505201
Dan Lucas,author,right,somewhat agree,214,120,94,0.5607476635514018
Dan Schnur,author,center,disagree,21,8,13,0.38095238095238093
Dan Wasserman (cartoonist),author,left,agree,171,114,57,0.6666666666666666
Dana Milbank,author,center,disagree,621,231,390,0.3719806763285024
Dana Summers (cartoonist),author,lean right,somewhat disagree,272,131,141,0.48161764705882354
David Brooks,author,lean right,somewhat disagree,1011,451,560,0.44609297725024727
David French,author,lean right,somewhat agree,101,60,41,0.594059405940594
David Frum,author,lean right,disagree,50,19,31,0.38
David Harsanyi,author,right,somewhat agree,46,27,19,0.5869565217391305
David Holmes,author,lean left,somewhat agree,190,110,80,0.5789473684210527
David Ignatius,author,center,somewhat disagree,457,189,268,0.4135667396061269
David Leonhardt,author,lean left,somewhat agree,353,196,157,0.5552407932011332
David Petraeus,author,center,somewhat disagree,54,25,29,0.46296296296296297
Debilyn Molineaux,author,lean left,somewhat agree,7,4,3,0.5714285714285714
Debra Saunders,author,right,somewhat agree,325,181,144,0.556923076923077
Dennis Prager,author,right,agree,441,279,162,0.6326530612244898
Diamond and Silk,author,right,strongly agree,271,197,74,0.7269372693726938
Dick Locher (cartoonist),author,right,somewhat disagree,159,71,88,0.44654088050314467
Dick Morris,author,lean right,somewhat disagree,535,239,296,0.44672897196261685
Dr. Abdul El-Sayed,author,left,agree,74,48,26,0.6486486486486487
Drew Litton (cartoonist),author,center,disagree,175,60,115,0.34285714285714286
Drew Sheneman (cartoonist),author,left,somewhat agree,196,113,83,0.576530612244898
Dylan Rose,author,center,somewhat agree,9,5,4,0.5555555555555556
E J Dionne,author,left,somewhat agree,1022,562,460,0.5499021526418787
Ed Rogers,author,right,agree,281,175,106,0.6227758007117438
Edward Morrissey,author,right,somewhat agree,336,175,161,0.5208333333333334
Eli Pariser,author,left,somewhat agree,110,66,44,0.6
Eli Steinberg,author,center,somewhat disagree,16,7,9,0.4375
Elie Mystal,author,left,somewhat agree,26,14,12,0.5384615384615384
Eric Allie (cartoonist),author,right,somewhat agree,286,159,127,0.5559440559440559
Eric Boehm,author,lean right,,14,7,7,0.5
Eric Holder,author,lean left,absolutely disagree,438,90,348,0.2054794520547945
Erik Wemple,author,center,somewhat disagree,610,258,352,0.42295081967213116
Eugene Robinson,author,left,somewhat agree,525,310,215,0.5904761904761905
Ezra Klein,author,left,agree,798,483,315,0.6052631578947368
Fareed Zakaria,author,center,disagree,1208,423,785,0.35016556291390727
Frank Bruni,author,lean left,somewhat disagree,317,145,172,0.45741324921135645
Frank Miniter,author,right,somewhat agree,661,335,326,0.5068078668683812
Froma Harrop,author,lean left,somewhat agree,198,104,94,0.5252525252525253
Gabrielle Giffords,author,lean left,somewhat disagree,88,40,48,0.45454545454545453
Gary Markstein (cartoonist),author,center,somewhat disagree,164,70,94,0.4268292682926829
Gary Varvel (cartoonist),author,right,strongly agree,125,91,34,0.728
George W. Bush,author,lean right,strongly agree,188,130,58,0.6914893617021277
George Will,author,right,disagree,1427,548,879,0.3840224246671338
Gina Baleria,author,lean left,agree,8,5,3,0.625
Glenn Beck,author,right,absolutely agree,1252,954,298,0.7619808306709265
Glenn Greenwald,author,lean left,disagree,67,26,41,0.3880597014925373
Glenn Harlan Reynolds,author,lean right,somewhat agree,24,14,10,0.5833333333333334
Glenn McCoy (cartoonist),author,right,somewhat agree,105,56,49,0.5333333333333333
Grover Norquist,author,right,strongly agree,498,373,125,0.748995983935743
Guest Writer - Center,author,center,somewhat disagree,146,60,86,0.410958904109589
Guest Writer - Left,author,lean left,somewhat disagree,532,220,312,0.41353383458646614
Guest Writer - Right,author,lean right,somewhat disagree,660,275,385,0.4166666666666667
H.R. McMaster,author,center,strongly agree,50,34,16,0.68
Heather Mac Donald,author,right,somewhat disagree,323,141,182,0.43653250773993807
Helen Andrews,author,lean right,agree,19,12,7,0.631578947368421
Henry A. Brechter,author,center,somewhat disagree,150,74,76,0.49333333333333335
Henry Payne (cartoonist),author,right,somewhat disagree,206,93,113,0.45145631067961167
Henry Windsor,author,lean left,strongly agree,10,7,3,0.7
Hirsh Joshi,author,left,somewhat agree,88,50,38,0.5681818181818182
Howard Kurtz,author,center,somewhat agree,896,498,398,0.5558035714285714
Hyria Stuart,author,lean left,absolutely agree,1,1,0,1.0
Jack Ohman (cartoonist),author,left,agree,117,75,42,0.6410256410256411
Jack Welch,author,lean right,somewhat agree,258,139,119,0.5387596899224806
Jackson Lanzer,author,center,agree,21,13,8,0.6190476190476191
James Bovard,author,lean right,agree,71,43,28,0.6056338028169014
James Coan,author,center,somewhat agree,22,12,10,0.5454545454545454
James Hohmann,author,lean right,somewhat disagree,164,73,91,0.4451219512195122
James Mattis,author,center,somewhat agree,164,89,75,0.5426829268292683
James Pethokoukis,author,lean right,somewhat agree,199,101,98,0.507537688442211
James Poulos,author,right,somewhat agree,132,76,56,0.5757575757575758
Jared McKiernan,author,center,somewhat agree,15,9,6,0.6
Jeff Danziger (cartoonist),author,left,somewhat agree,142,75,67,0.528169014084507
Jeff Flake,author,lean right,strongly disagree,266,83,183,0.31203007518796994
Jeff Jacoby,author,right,somewhat agree,212,125,87,0.589622641509434
Jeff Spross,author,left,somewhat agree,71,42,29,0.5915492957746479
Jeff Stahler (cartoonist),author,left,somewhat agree,153,91,62,0.5947712418300654
Jen Sorensen (cartoonist),author,left,agree,138,83,55,0.6014492753623188
Jennifer Rubin,author,lean left,disagree,587,214,373,0.3645655877342419
Jeremy E Sherman,author,lean left,somewhat disagree,89,40,49,0.449438202247191
Jeremy Garson,author,lean left,somewhat agree,9,5,4,0.5555555555555556
Jerry Bowyer,author,right,disagree,417,162,255,0.38848920863309355
Jerry Holbert (cartoonist),author,right,somewhat agree,148,82,66,0.5540540540540541
Jim Geraghty,author,lean right,somewhat agree,22,12,10,0.5454545454545454
Jim Morin (cartoonist),author,left,strongly agree,97,66,31,0.6804123711340206
Jim Obergefell,author,lean left,somewhat agree,71,36,35,0.5070422535211268
Jim Rutenberg,author,lean left,somewhat agree,151,83,68,0.5496688741721855
Joan Blades,author,left,somewhat disagree,254,106,148,0.41732283464566927
Joan Walsh,author,left,agree,31,19,12,0.6129032258064516
Joe Scarborough,author,lean right,absolutely disagree,1436,265,1171,0.18454038997214484
Joel Pett (cartoonist),author,left,somewhat agree,150,77,73,0.5133333333333333
John Boehner,author,right,somewhat disagree,640,265,375,0.4140625
John Deering (cartoonist),author,center,somewhat disagree,138,68,70,0.4927536231884058
John Fund,author,lean right,somewhat disagree,310,150,160,0.4838709677419355
"John Gable, AllSides Founder",author,lean right,somewhat disagree,466,203,263,0.4356223175965665
